"Geneid","SRR1177960.","SRR1177967.","SRR1177968.","SRR1177971.","SRR1177984.","SRR1177985.","SRR1177986.","SRR1178023.","SRR1178049."
"NM_001014022",116,200,144,160,214,136,184,100,144
"NM_017229",2756,1468,1661,1894,1356,1337,1173,2362,2258
"NM_001106285",310,513,170,432,1402,1287,911,166,214
"NM_080781",3439,2353,2246,2805,3080,2965,3063,3395,4109
"NM_001013434",422,532,398,418,695,634,542,384,517
"NM_001108500",854,1066,766,1006,535,511,554,654,1227
"NM_001108501",76,240,101,104,161,98,143,76,110
"NM_181695",3,5,0,2,5,0,2,2,2
"NM_017082",0,0,4,76,0,0,0,0,0
"NM_001079706",34,23,24,35,79,90,103,34,30
"NM_144748",1562,394,884,544,1081,1485,1486,2963,2545
"NM_001106293",0,0,0,0,0,0,0,0,0
"NM_181370",0,0,0,0,2,0,2,1,0
"NM_017100",16,23,10,55,243,200,271,38,42
"NM_001107548",88,246,253,113,130,124,129,108,163
"NM_001159493",75,130,165,102,39,71,46,74,115
"NM_001270693",0,0,0,0,0,0,0,0,0
"NM_001270692",0,0,0,0,0,0,0,0,0
"NM_080691",0,0,0,1,0,0,0,0,0
"NM_022244",0,0,0,0,0,0,0,0,0
"NM_001270694",0,0,0,0,0,0,0,0,0
"NM_001134574",521,256,375,497,345,373,388,401,523
"NM_001011935",2585,2350,1687,2194,1851,1716,1699,2587,2468
"NM_001012469",16,36,10,31,231,116,181,14,20
"NM_001009645",57,40,10,82,463,299,393,40,31
"NM_001109154",47,57,32,71,165,78,108,24,43
"NM_198736",84,46,79,60,43,40,69,46,79
"NM_001109156",148,216,175,451,168,121,211,136,155
"NM_001107552",173,149,143,135,228,144,188,179,124
"NM_001039608",547,758,557,707,745,627,718,603,720
"NM_001191631",19,0,4,5,12,16,4,4,4
"NM_012712",0,0,0,0,0,0,0,0,0
"NM_001109894",0,0,0,0,0,0,0,0,0
"NM_001109893",0,0,0,0,0,0,0,0,0
"NM_001109892",0,0,0,0,0,0,0,0,0
"NM_001109896",0,0,0,0,0,0,0,0,0
"NM_001109895",0,0,0,0,0,0,0,0,0
"NM_022849",444,730,752,875,6622,1338,3684,295,336
"NM_001004418",0,0,0,0,0,0,0,0,0
"NM_001004415",14,63,84,29,36,42,30,8,10
"NM_001107555",238,235,214,232,234,218,287,290,361
"NM_001009706",1331,1637,1598,2175,632,788,841,1155,1388
"NM_001012068",147,182,288,302,99,108,119,126,152
"NM_001008347",0,2,0,0,0,0,0,2,2
"NM_001143803",0,0,0,1,0,2,0,2,4
"NM_001143858",975,691,852,1037,842,824,849,830,912
"NM_053767",54,96,23,52,188,193,171,23,38
"NM_001108506",2,2,4,2,20,10,20,2,2
"NM_012861",470,420,407,430,868,797,850,487,499
"NM_001130077",0,0,0,0,0,0,0,0,0
"NM_001163277",0,0,0,0,0,0,0,0,0
"NM_001025058",3,8,8,1,3,1,5,1,1
